
-15;14,023
-14,4;14,023
-13,74;14,023
-13,08;14,023
-12,42;14,023
-11,76;14,023
-11,1;14,023
-10,44;14,023
-9,78;14,023
-9,12;14,023
-8,46;14,023
-7,8;14,023
-7,14;14,023
-6,48;14,023
-5,82;14,023
-5,16;14,023
-4,5;14,023
-3,84;14,023
-3,18;14,023
-2,52;14,023
-1,86;14,023
-1,2;14,023
-0,54;14,023
-0,06;14,023
3,458344722e-014;0,036086
0,06;-14,7029
0,72;-14,7029
1,38;-14,7029
2,04;-14,7029
2,7;-14,7029
3,36;-14,7029
4,02;-14,7029
4,68;-14,7029
5,34;-14,7029
6;-14,7029
6,66;-14,7029
7,32;-14,7029
7,98;-14,7029
8,64;-14,7029
9,3;-14,7029
9,96;-14,7029
10,62;-14,7029
11,28;-14,7029
11,94;-14,7029
12,6;-14,7029
13,26;-14,7029
13,92;-14,7029
14,58;-14,7029
14,94;-14,7029
